,Country,Region,Happiness Score,Economy,Family,Health,Freedom,Corruption,Generosity
0,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171
1,Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083
2,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678
3,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895
4,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492
6,Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416
9,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
11,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865
15,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452
17,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424
18,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963
19,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571
22,United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156
26,Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929
31,France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216
36,Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665
44,Slovakia,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837
49,Italy,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684
53,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011
54,Moldova,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997
55,Russia,Central and Eastern Europe,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736
56,Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443
59,Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025
60,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942
61,Northern Cyprus,Western Europe,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322
62,Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738
64,Turkmenistan,Central and Eastern Europe,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567
67,Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445
68,Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906
70,Romania,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889
71,Estonia,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423
73,Croatia,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434
76,Kosovo,Central and Eastern Europe,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992
80,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564
85,Serbia,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737
86,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889
87,Montenegro,Central and Eastern Europe,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191
90,Hungary,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099
93,Portugal,Western Europe,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691
94,Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507
98,Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.0
108,Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684
120,Armenia,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793
122,Ukraine,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363
125,Georgia,Central and Eastern Europe,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786
128,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793
129,Turkey,Central and Eastern Europe,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707
